iib_code,eq_zone,eq_rate
2191,Zone IV,0.05
2192,Zone IV,0.05
2193,Zone IV,0.05
2194,Zone IV,0.05
2195,Zone IV,0.05
2196,Zone IV,0.05
2197,Zone IV,0.05
2198,Zone IV,0.05
2199,Zone IV,0.05
2200,Zone IV,0.05
2201,Zone IV,0.05
2202,Zone IV,0.05
2203,Zone IV,0.05
2204,Zone IV,0.05
2205,Zone IV,0.05
2206,Zone IV,0.05
2207,Zone IV,0.05
2208,Zone IV,0.05
4900,Zone IV,0.05
3001,Zone IV,0.05
3002,Zone IV,0.05
3003,Zone IV,0.05
3004,Zone IV,0.05
3005,Zone IV,0.05
3006,Zone IV,0.05
3007,Zone IV,0.05
3008,Zone IV,0.05
3009,Zone IV,0.05
3010,Zone IV,0.05
3011,Zone IV,0.05
3012,Zone IV,0.05
3013,Zone IV,0.05
3014,Zone IV,0.05
3015,Zone IV,0.05
3016,Zone IV,0.05
3017,Zone IV,0.05
3018,Zone IV,0.05
3019,Zone IV,0.05
4001,Zone IV,0.05
4012,Zone IV,0.05
4002,Zone IV,0.05
4013,Zone IV,0.05
4019,Zone IV,0.05
4003,Zone IV,0.05
4014,Zone IV,0.05
4018,Zone IV,0.05
4004,Zone IV,0.05
4015,Zone IV,0.05
4005,Zone IV,0.05
4016,Zone IV,0.05
4006,Zone IV,0.05
4017,Zone IV,0.05
4007,Zone IV,0.05
4008,Zone IV,0.05
4009,Zone IV,0.05
4010,Zone IV,0.05
4011,Zone IV,0.05
